project,dataset,table,column,sensitive_field,sensitive_type
tag-engine-run,sakila_dw,actor,first_name,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,actor,last_name,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,address,address,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,address,phone,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,customer,first_name,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,customer,last_name,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,customer,email,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,staff,first_name,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,staff,last_name,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,staff,picture,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,staff,email,TRUE,Personal_Identifiable_Information
tag-engine-run,sakila_dw,staff,username,TRUE,Sensitive_Personal_Identifiable_Information
tag-engine-run,sakila_dw,staff,password,TRUE,Sensitive_Personal_Identifiable_Information
tag-engine-run,sakila_dw,city,city_id,FALSE,
tag-engine-run,sakila_dw,city,city,FALSE,
tag-engine-run,sakila_dw,city,country_id,FALSE,
tag-engine-run,sakila_dw,city,last_update,FALSE,
